Miejscowoœæ;Powiat;Województwo
Gorzechowo;p³ocki;mazowieckie
Gorzechówko;brodnicki;kujawsko-pomorskie
Gorzejowa;dêbicki;podkarpackie
Gorzeka³y;piski;warmiñsko-mazurskie
Gorzelin;lubiñski;dolnoœl¹skie
Gorzelnia (nowa Gorzelnia);czêstochowski;œl¹skie
Gorzelnia (stara Gorzelnia);czêstochowski;œl¹skie
Gorzeñ;nakielski;kujawsko-pomorskie
Gorzeñ (kaŸmierowo);nakielski;kujawsko-pomorskie
Gorzeñ Dolny;wadowicki;ma³opolskie
Gorzeñ Górny;wadowicki;ma³opolskie
Gorzes³aw;oleœnicki;dolnoœl¹skie
Gorzeszów;kamiennogórski;dolnoœl¹skie
Gorzeszyn;lipnowski;kujawsko-pomorskie
Gorzew;pabianicki;³ódzkie
Gorzewko;obornicki;wielkopolskie
Gorzewnica;sochaczewski;mazowieckie
Gorzewo;gostyniñski;mazowieckie
Gorzewo (kruk);gostyniñski;mazowieckie
Gorzewo-kolonia;gostyniñski;mazowieckie
Gorzêdów;radomszczañski;³ódzkie
Gorzêdziej;tczewski;pomorskie
Gorzkie Pole;poznañski;wielkopolskie
Gorzkowice;piotrkowski;³ódzkie
Gorzkowice (leonów);piotrkowski;³ódzkie
Gorzkowiczki;piotrkowski;³ódzkie
Gorzkowiczki (bukowina);piotrkowski;³ódzkie
Gorzkowiczki (józefina);piotrkowski;³ódzkie
Gorzkowiczki (pieñki Stolarskie);piotrkowski;³ódzkie
Gorzkowiczki (poros³o);piotrkowski;³ódzkie
Gorzków;bocheñski;ma³opolskie
Gorzków Nowy;myszkowski;œl¹skie
Gorzków Stary;myszkowski;œl¹skie
Gorzków-osada;krasnostawski;lubelskie
Gorzków-wieœ;krasnostawski;lubelskie
Gorzów;oœwiêcimski;ma³opolskie
Gorzów œl¹ski;oleski;opolskie
Gorzów Wielkopolski;gorzów wielkopolski;lubuskie
Gorzuchowo;gnieŸnieñski;wielkopolskie
Gorzuchów;k³odzki;dolnoœl¹skie
Gorzuchy;kaliski;wielkopolskie
Gorzupia;krotoszyñski;wielkopolskie
Gorzupia Dolna;¿agañski;lubuskie
Gorzupia Dolna (dybów);¿agañski;lubuskie
Gorzyca;s³awieñski;zachodniopomorskie
Gorzyca (zamostowo);miêdzyrzecki;lubuskie
Gorzyce;koœciañski;wielkopolskie
Gorzyce (p¹czek Gorzycki);tarnobrzeski;podkarpackie
Gorzyce Ma³e;ostrowski;wielkopolskie
Gorzyce Wielkie;ostrowski;wielkopolskie
Gorzycko Stare;miêdzychodzki;wielkopolskie
Gorzyczany;sandomierski;œwiêtokrzyskie
Gorzyczki;wodzis³awski;œl¹skie
Gorzykowo;gnieŸnieñski;wielkopolskie
Gorzyno;s³upski;pomorskie
Gorzyñ;miêdzychodzki;wielkopolskie
Gorzys³aw;gryficki;zachodniopomorskie
Gosañ;konecki;œwiêtokrzyskie
Gosañ (gusina);konecki;œwiêtokrzyskie
Gosie Du¿e;zambrowski;podlaskie
Gosie Du¿e (gosie-otale);zambrowski;podlaskie
Gosie Ma³e;zambrowski;podlaskie
Goski Du¿e;zambrowski;podlaskie
Goski-pe³ki;zambrowski;podlaskie
Goski-w¹sosze;przasnyski;mazowieckie
Gos³aw;kluczborski;opolskie
Gos³awice;œredzki;dolnoœl¹skie
Gos³awice (frachowiec);radomszczañski;³ódzkie
Gos³awice (kuchary);radomszczañski;³ódzkie
Gos³awice (zab³ocie);radomszczañski;³ódzkie
Gos³awice (zalesie);radomszczañski;³ódzkie
Gospodarz;³ódzki wschodni;³ódzkie
Gospódka;miêdzychodzki;wielkopolskie
Gosprzydowa;brzeski;ma³opolskie
Gostchorz;siedlecki;mazowieckie
Gostchorze;kroœnieñski;lubuskie
Gostery;ostro³êcki;mazowieckie
Gostkowice;gorzowski;lubuskie
Gostkowo;koszaliñski;zachodniopomorskie
Gostkowo (zbys³aw);bytowski;pomorskie
Gostków;wa³brzyski;dolnoœl¹skie
Gostków (gostków Górny);skar¿yski;œwiêtokrzyskie
Gostolin;p³oñski;mazowieckie
Gostomia;grójecki;mazowieckie
Gostomia (³¹ki);wa³ecki;zachodniopomorskie
Gostomie;koœcierski;pomorskie
Gostomin;³obeski;zachodniopomorskie
Gostomin (gildnica);³obeski;zachodniopomorskie
Gostomka;¿niñski;kujawsko-pomorskie
Gostomko;koœcierski;pomorskie
Gostudz;cz³uchowski;pomorskie
Gostuñ;s³upecki;wielkopolskie
Gostwica;nowos¹decki;ma³opolskie
Gostycyn;tucholski;kujawsko-pomorskie
Gostyczyn;choszczeñski;zachodniopomorskie
Gostyczyna;ostrowski;wielkopolskie
Gostynie;kaliski;wielkopolskie
Gostynie (radzany);kaliski;wielkopolskie
Gostynie (szadykierz);kaliski;wielkopolskie
Gostyniec;kamieñski;zachodniopomorskie
Gostynin;gostyniñski;mazowieckie
Gostynin (drzewce);gostyniñski;mazowieckie
Gostyñ;kamieñski;zachodniopomorskie
Gostyñ ³obeski;gryficki;zachodniopomorskie
Gostyñski Bród;gryficki;zachodniopomorskie
Goszcz;oleœnicki;dolnoœl¹skie
Goszcz (kuŸnica Goszczañska);oleœnicki;dolnoœl¹skie
Goszcz (szczodrak);oleœnicki;dolnoœl¹skie
Goszcz (troska);oleœnicki;dolnoœl¹skie
Goszcza;krakowski;ma³opolskie
Goszczanowiec;strzelecko-drezdenecki;lubuskie
Goszczanowo;strzelecko-drezdenecki;lubuskie
Goszczanów;sieradzki;³ódzkie
Goszczanówko;strzelecko-drezdenecki;lubuskie
Goszczewice;radomski;mazowieckie
Goszczewo;aleksandrowski;kujawsko-pomorskie
Goszczêdza;³êczycki;³ódzkie
Goszczk;¿uromiñski;mazowieckie
Goszczowa;radomszczañski;³ódzkie
Goszczowa (niwa Goszczowska);radomszczañski;³ódzkie
Goszczowa (sroków);radomszczañski;³ódzkie
Goszczowice;opolski;opolskie
Goszczyce Poœwiêtne;p³oñski;mazowieckie
Goszczyce œrednie;p³oñski;mazowieckie
Goszczyn;grójecki;mazowieckie
Goszczyna;o³awski;dolnoœl¹skie
Goszczynno;³êczycki;³ódzkie
Goszczyno;pucki;pomorskie
Goszczyno (goszczyno-wybudowanie);pucki;pomorskie
Goszków;gryfiñski;zachodniopomorskie
Goszkówek;gryfiñski;zachodniopomorskie
Goszowice;nyski;opolskie
Goszowice (fr¹czków);nyski;opolskie
Goszowice (naczków);nyski;opolskie
Goszowice (œmi³owice);nyski;opolskie
Goszów;k³odzki;dolnoœl¹skie
Goszyce;krakowski;ma³opolskie
Goszyn;gdañski;pomorskie
Goœcice;nyski;opolskie
Goœcicino;wejherowski;pomorskie
Goœcicino (zybertowo);wejherowski;pomorskie
Goœciejew;krotoszyñski;wielkopolskie
Goœciejew (paniwola);krotoszyñski;wielkopolskie
Goœciejewice;rawicki;wielkopolskie
Goœciejewko;obornicki;wielkopolskie
Goœciejewo;obornicki;wielkopolskie
Goœciejewo Leœne;obornicki;wielkopolskie
Goœciejowice;opolski;opolskie
Goœciejowice (goœciejowice Ma³e);opolski;opolskie
Goœciencin;w³oszczowski;œwiêtokrzyskie
Goœcieñczyce;grójecki;mazowieckie
Goœcieradów Plebañski;kraœnicki;lubelskie
Goœcieradów Ukazowy;kraœnicki;lubelskie
Goœcieradów-folwark;kraœnicki;lubelskie
Goœcieradów-kolonia;kraœnicki;lubelskie
Goœcieradz;bydgoski;kujawsko-pomorskie
Goœcieszowice;¿agañski;lubuskie
Goœcieszowice (miêdzylesie);¿agañski;lubuskie
Goœcieszyn;wolsztyñski;wielkopolskie
Goœcieszynek;¿niñski;kujawsko-pomorskie
Goœciewicz;garwoliñski;mazowieckie
Goœciêcice;strzeliñski;dolnoœl¹skie
Goœciêcin;kêdzierzyñsko-kozielski;opolskie
Goœciêcino;wejherowski;pomorskie
Goœcikowo;œwiebodziñski;lubuskie
Goœcim;strzelecko-drezdenecki;lubuskie
Goœcimiec;strzelecko-drezdenecki;lubuskie
Goœcimierz;gryficki;zachodniopomorskie
Goœcimin Wielki;p³oñski;mazowieckie
Goœcimowice Drugie;piotrkowski;³ódzkie
Goœcimowice Pierwsze;piotrkowski;³ódzkie
Goœciniec;kielecki;œwiêtokrzyskie
Goœcinko;bia³ogardzki;zachodniopomorskie
Goœcinna;piotrkowski;³ódzkie
Goœcino;ko³obrzeski;zachodniopomorskie
Goœcino-dwór;ko³obrzeski;zachodniopomorskie
Goœcinowo;miêdzyrzecki;lubuskie
Goœcis³aw;³obeski;zachodniopomorskie
Goœciszewo;sztumski;pomorskie
Goœciszka;¿uromiñski;mazowieckie
Goœciszów;boles³awiecki;dolnoœl¹skie
Goœlice;p³ocki;mazowieckie
Goœlinowo;gnieŸnieñski;wielkopolskie
Goœlinów;legnicki;dolnoœl¹skie
Goœliny;rawski;³ódzkie
Goœlub;³êczycki;³ódzkie
Goœlub-osada;³êczycki;³ódzkie
Goœniewice;grójecki;mazowieckie
Goœwinowice;nyski;opolskie
Gotardy;pu³tuski;mazowieckie
Gotartów;kluczborski;opolskie
Gotartów-ogrodnictwo;kluczborski;opolskie
Gotelp;chojnicki;pomorskie
Gotkowice;krakowski;ma³opolskie
Gotówka;che³mski;lubelskie
Gowarczów;konecki;œwiêtokrzyskie
Gowarzewo;poznañski;wielkopolskie
Gowarzów;radomszczañski;³ódzkie
Gowidlino;kartuski;pomorskie
Gowidlino (kawle);kartuski;pomorskie
Goworki;ostro³êcki;mazowieckie
Goworowice;nyski;opolskie
Goworowo;ostro³êcki;mazowieckie
Goworów;k³odzki;dolnoœl¹skie
Goworówek;ostro³êcki;mazowieckie
Gozd;koszaliñski;zachodniopomorskie
Gozdanin;zgorzelecki;dolnoœl¹skie
Gozdawa;mogileñski;kujawsko-pomorskie
Gozdek;koniñski;wielkopolskie
Gozdek Drugi;koniñski;wielkopolskie
Gozdków;³êczycki;³ódzkie
Gozdnica;cz³uchowski;pomorskie
Gozdno;z³otoryjski;dolnoœl¹skie
Gozdowice;gryfiñski;zachodniopomorskie
Gozdowo;wrzesiñski;wielkopolskie
Gozdowo-m³yn;wrzesiñski;wielkopolskie
Gozdów;kolski;wielkopolskie
Gozdów (wrzask);zgierski;³ódzkie
Gozdy;sieradzki;³ódzkie
Gozna;jêdrzejowski;œwiêtokrzyskie
GoŸdzichowo;grodziski;wielkopolskie
GoŸdzie;ciechanowski;mazowieckie
GoŸdzielin;ostrowiecki;œwiêtokrzyskie
GoŸdzielin (moczyd³o);ostrowiecki;œwiêtokrzyskie
GoŸdzik;garwoliñski;mazowieckie
GoŸdzików;przysuski;mazowieckie
GoŸdzin;grodziski;wielkopolskie
GoŸdziówka;miñski;mazowieckie
GoŸlice;sandomierski;œwiêtokrzyskie
GoŸlin Górny;garwoliñski;mazowieckie
GoŸlin Ma³y;garwoliñski;mazowieckie
Gójsk;sierpecki;mazowieckie
Gójszcz;miñski;mazowieckie
Gó³ka;w¹growiecki;wielkopolskie
Gó³kowo;s³upecki;wielkopolskie
Góra;poznañski;wielkopolskie
Góra (górskie Huby);œremski;wielkopolskie
Góra (kajêcin);górowski;dolnoœl¹skie
Góra (ma³a Góra);opolski;opolskie
Góra (sêdziwojowice);górowski;dolnoœl¹skie
Góra Ba³drzychowska;poddêbicki;³ódzkie
Góra Ba³drzychowska-kolonia;poddêbicki;³ódzkie
Góra Kalwaria;piaseczyñski;mazowieckie
Góra Motyczna;dêbicki;podkarpackie
Góra Nad Noteci¹;czarnkowsko-trzcianecki;wielkopolskie
Góra Pu³awska;pu³awski;lubelskie
Góra Ropczycka;ropczycko-sêdziszowski;podkarpackie
Góra Siewierska;bêdziñski;œl¹skie
Góra Strêkowa;bia³ostocki;podlaskie
Góra œwiêtego Jana;limanowski;ma³opolskie
Góra œwiêtej Anny;strzelecki;opolskie
Góra œwiêtej Ma³gorzaty;³êczycki;³ódzkie
Góra W³odowska;zawierciañski;œl¹skie
Góraj;kolski;wielkopolskie
Górale;milicki;dolnoœl¹skie
Góralice;gryfiñski;zachodniopomorskie
Góraliki;brodnicki;kujawsko-pomorskie
Górany;sokólski;podlaskie
Góraszka;otwocki;mazowieckie
Górawino;koszaliñski;zachodniopomorskie
Góra¿d¿e;krapkowicki;opolskie
Górczyca;lwówecki;dolnoœl¹skie
Górczyn;gryfiñski;zachodniopomorskie
Górczyna;wschowski;lubuskie
Górecka Kolonia;lubartowski;lubelskie
Górecko;strzelecko-drezdenecki;lubuskie
Górecko Koœcielne;bi³gorajski;lubelskie
Górecko Stare;bi³gorajski;lubelskie
Górecko Stare (florianka);bi³gorajski;lubelskie
Góreczki;krotoszyñski;wielkopolskie
Góreczki Wielkie;rawicki;wielkopolskie
Góreczno;prudnicki;opolskie
Górka;¿arski;lubuskie
Górka Duchowna;leszczyñski;wielkopolskie
Górka Jakliñska;proszowicki;ma³opolskie
Górka Klonowska;sieradzki;³ódzkie
Górka Klonowska-kolonia;sieradzki;³ódzkie
Górka Koœciejowska;miechowski;ma³opolskie
Górka Lubartowska;lubartowski;lubelskie
Górka Pabianicka;pabianicki;³ódzkie
Górka Powieliñska;pu³tuski;mazowieckie
Górka Prudnicka;prudnicki;opolskie
Górka Sobocka;strzeliñski;dolnoœl¹skie
Górka Stogniowska;proszowicki;ma³opolskie
Górka W¹soska;górowski;dolnoœl¹skie
Górka Wieruszowska;wieruszowski;³ódzkie
Górka-zab³ocie;hrubieszowski;lubelskie
Górka-zab³ocie (górka);hrubieszowski;lubelskie
Górki;parczewski;lubelskie
Górki (abisynia Górska);koœcierski;pomorskie
Górki (barwinek);skar¿yski;œwiêtokrzyskie
Górki (górki Maleszowskie);kielecki;œwiêtokrzyskie
Górki (kukañ);kamieñski;zachodniopomorskie
Górki (nowiny);skar¿yski;œwiêtokrzyskie
Górki (olszyny);skar¿yski;œwiêtokrzyskie
Górki (smolewo);koœcierski;pomorskie
Górki (zamczysko);nowodworski;mazowieckie
Górki (¿ebrak);garwoliñski;mazowieckie
Górki Borze;wêgrowski;mazowieckie
Górki D¹bskie;nakielski;kujawsko-pomorskie
Górki Drugie;gostyniñski;mazowieckie
Górki Du¿e;pu³tuski;mazowieckie
Górki Grabiñskie;³aski;³ódzkie
Górki Grubaki;wêgrowski;mazowieckie
Górki ³ubnickie;³êczycki;³ódzkie
Górki Ma³e;³ódzki wschodni;³ódzkie
Górki Napêkowskie;kielecki;œwiêtokrzyskie
Górki Noteckie;strzelecko-drezdenecki;lubuskie
Górki Pêc³awskie;³êczycki;³ódzkie
Górki Pierwsze;gostyniñski;mazowieckie
Górki œl¹skie;raciborski;œl¹skie
Górki œrednie;wêgrowski;mazowieckie
Górki Wielkie;cieszyñski;œl¹skie
Górki Zadzimskie;poddêbicki;³ódzkie
Górki Zagajne;nakielski;kujawsko-pomorskie
Górki-baæki;pu³tuski;mazowieckie
Górki-izabelin;grójecki;mazowieckie
Górki-kolonia;garwoliñski;mazowieckie
Górki-sypniewo;³om¿yñski;podlaskie
Górki-szewkowo;³om¿yñski;podlaskie
Górki-witowice;pu³tuski;mazowieckie
Górk³o;mr¹gowski;warmiñsko-mazurskie
Górkowo;olsztyñski;warmiñsko-mazurskie
Górkowo (augustówka);olsztyñski;warmiñsko-mazurskie
Górna Grupa;œwiecki;kujawsko-pomorskie
Górna Owczarnia;opolski;lubelskie
Górna Wieœ;warszawski zachodni;mazowieckie
Górna Wola;radomski;mazowieckie
Górne;³êczyñski;lubelskie
Górne Gr¹dy;wrzesiñski;wielkopolskie
Górne Maliki;koœcierski;pomorskie
Górne Wymiary;che³miñski;kujawsko-pomorskie
Górniak;w³oc³awski;kujawsko-pomorskie
Górnica;czarnkowsko-trzcianecki;wielkopolskie
Górniki;bi³gorajski;lubelskie
Górniki (stare Górniki);bi³gorajski;lubelskie
Górno;tomaszowski;lubelskie
Górno (bór);kielecki;œwiêtokrzyskie
Górno (do³êga);rzeszowski;podkarpackie
Górno (meszne);rzeszowski;podkarpackie
Górno (rêkaw);rzeszowski;podkarpackie
Górno (rudki);kielecki;œwiêtokrzyskie
Górno (zaborze);rzeszowski;podkarpackie
Górno-parcele;kielecki;œwiêtokrzyskie
Górno-zawada;kielecki;œwiêtokrzyskie
Górnowo;gryfiñski;zachodniopomorskie
Górnowola;buski;œwiêtokrzyskie
Górny Gród;hajnowski;podlaskie
Górny M³yn;konecki;œwiêtokrzyskie
Górny Wiec;koœcierski;pomorskie
Górowatki;sêpoleñski;kujawsko-pomorskie
Górowo;koniñski;wielkopolskie
Górowo I³aweckie;bartoszycki;warmiñsko-mazurskie
Górowo-trz¹ski;nidzicki;warmiñsko-mazurskie
Górowychy;kwidzyñski;pomorskie
Górowychy (górowychy Ma³e);kwidzyñski;pomorskie
Górsk;toruñski;kujawsko-pomorskie
Górski Las;braniewski;warmiñsko-mazurskie
Górskie;augustowski;podlaskie
Górskie Ponik³y-stok;zambrowski;podlaskie
Górsko;s³awieñski;zachodniopomorskie
Górszczyzna;kolneñski;podlaskie
Góry;braniewski;warmiñsko-mazurskie
Góry (bojnówka);piñczowski;œwiêtokrzyskie
Góry (góry-kolonia);koniñski;wielkopolskie
Góry Bydliñskie;olkuski;ma³opolskie
Góry Gorzkowskie;czêstochowski;œl¹skie
Góry Karwackie;przasnyski;mazowieckie
Góry Kluczkowickie;opolski;lubelskie
Góry Lasochowskie;jêdrzejowski;œwiêtokrzyskie
Góry Lubiañskie;ostródzki;warmiñsko-mazurskie
Góry Ma³e;p³ocki;mazowieckie
Góry Miechowskie;miechowski;ma³opolskie
Góry Mokre;radomszczañski;³ódzkie
Góry Opolskie;opolski;lubelskie
Góry Pêchowskie;sandomierski;œwiêtokrzyskie
Góry Prusinowskie;zduñskowolski;³ódzkie
Góry Sieradzkie;kazimierski;œwiêtokrzyskie
Góry Suche;radomszczañski;³ódzkie
Góry œwi¹tkowskie;wieluñski;³ódzkie
Góry Trzebiatowskie;opoczyñski;³ódzkie
Góry Witowskie;radziejowski;kujawsko-pomorskie
Góry Wysokie;sandomierski;œwiêtokrzyskie
Góry Wysokie (góry Dolne);sandomierski;œwiêtokrzyskie
Góry Wysokie (góry Panieñskie);sandomierski;œwiêtokrzyskie
Góry Wysokie (góry Pod Lasem);sandomierski;œwiêtokrzyskie
Góry Wysokie (góry Pod Torem);sandomierski;œwiêtokrzyskie
Góry Wysokie (karczmówka);sandomierski;œwiêtokrzyskie
Góry Wysokie (ko³o WoŸnicy);sandomierski;œwiêtokrzyskie
Góry Wysokie (ksiê¿a Góra);sandomierski;œwiêtokrzyskie
Góry Wysokie (ksiê¿e Pole);sandomierski;œwiêtokrzyskie
Góry Wysokie (pod Lasem);sandomierski;œwiêtokrzyskie
Góry Zborowskie;kaliski;wielkopolskie
Góry Z³otnickie;kaliski;wielkopolskie
Górzanka;leski;podkarpackie
Górzec;strzeliñski;dolnoœl¹skie
Górzenko;ostrowski;wielkopolskie
Górzna;z³otowski;wielkopolskie
Górzno;choszczeñski;zachodniopomorskie
Górzno-kolonia;garwoliñski;mazowieckie
Górzno-wybudowanie;brodnicki;kujawsko-pomorskie
Górzyca;gryficki;zachodniopomorskie
Górzyce;wroc³awski;dolnoœl¹skie
Górzykowo;zielonogórski;lubuskie
Górzyn;¿arski;lubuskie
Górzyn (gozdno);¿arski;lubuskie
Górzyska;strzelecko-drezdenecki;lubuskie
Gózd;ni¿añski;podkarpackie
Gózd Lipiñski;bi³gorajski;lubelskie
Gózdek;garwoliñski;mazowieckie
Grab;jasielski;podkarpackie
Grabacz;dzia³dowski;warmiñsko-mazurskie
Grabal;sierpecki;mazowieckie
Grabanina;jasielski;podkarpackie
Grabanina (bobule);jasielski;podkarpackie
Grabanina (haczów);jasielski;podkarpackie
Grabanów;bialski;lubelskie
Grabanów-kolonia;bialski;lubelskie
Grabarka;siemiatycki;podlaskie
Grabarze;k³obucki;œl¹skie
Grabce Józefpolskie;¿yrardowski;mazowieckie
Grabce Wrêckie;¿yrardowski;mazowieckie
Grabce-towarzystwo;¿yrardowski;mazowieckie
Grabczok;opolski;opolskie
Grabczok (mañczok);opolski;opolskie
Grabek;mr¹gowski;warmiñsko-mazurskie
Grabia;³aski;³ódzkie
Grabia Trzecia;³aski;³ódzkie
Grabianka;otwocki;mazowieckie
Grabianowo;œremski;wielkopolskie
Grabi¹¿ek;szczecinecki;zachodniopomorskie
Grabica;³aski;³ódzkie
Grabica-kolonia;piotrkowski;³ódzkie
Grabice;rawski;³ódzkie
Grabice (kêszyce);opolski;opolskie
Grabiczki;ostródzki;warmiñsko-mazurskie
Grabie;p³oñski;mazowieckie
Grabie Polskie;p³ocki;mazowieckie
Grabiec;zawierciañski;œl¹skie
Grabienice;koniñski;wielkopolskie
Grabienice (piaski);koniñski;wielkopolskie
Grabienice Ma³e;m³awski;mazowieckie
Grabienice Wielkie;m³awski;mazowieckie
Grabieniec;turecki;wielkopolskie
Grabik;¿arski;lubuskie
Grabin;s³upski;pomorskie
Grabin (grabinek);ostródzki;warmiñsko-mazurskie
Grabin (ogary);goleniowski;zachodniopomorskie
Grabin (szklarka);kroœnieñski;lubuskie
Grabina;kolski;wielkopolskie
Grabina (bronis³awów);kolski;wielkopolskie
Grabina (bronis³awówek);kolski;wielkopolskie
Grabina (grabina Dolna);³ódzki wschodni;³ódzkie
Grabina (grabina Górna);³ódzki wschodni;³ódzkie
Grabina (kolonia Otocka);prudnicki;opolskie
Grabina Ma³a;kolski;wielkopolskie
Grabina Radziwi³³owska;¿yrardowski;mazowieckie
Grabina Wielka;kolski;wielkopolskie
Grabina Wielka (d¹bskie Holendry);kolski;wielkopolskie
Grabina Wola;piotrkowski;³ódzkie
Grabinek;drawski;zachodniopomorskie
Grabinka;sieradzki;³ódzkie
Grabiny;lipnowski;kujawsko-pomorskie
Grabiny-zameczek;gdañski;pomorskie
Grabionka;strzelecko-drezdenecki;lubuskie
Grabionna;pilski;wielkopolskie
Grabiszew;poddêbicki;³ódzkie
Grabiszyce Dolne;lubañski;dolnoœl¹skie
Grabiszyce Górne;lubañski;dolnoœl¹skie
Grabiszyce œrednie;lubañski;dolnoœl¹skie
Grabki Du¿e;staszowski;œwiêtokrzyskie
Grabki Du¿e (kierdany);staszowski;œwiêtokrzyskie
Grabki Du¿e (sachalin);staszowski;œwiêtokrzyskie
Grabki Du¿e (zielonka);staszowski;œwiêtokrzyskie
Grabki Ma³e;buski;œwiêtokrzyskie
Grabkowo;w³oc³awski;kujawsko-pomorskie
Grabków;kutnowski;³ódzkie
Grabniak;miñski;mazowieckie
Grabnica;stargardzki;zachodniopomorskie
Grabnik;warszawski zachodni;mazowieckie
Grabnik Ma³y;mr¹gowski;warmiñsko-mazurskie
Grabno;kêtrzyñski;warmiñsko-mazurskie
Grabnowola;kozienicki;mazowieckie
Grabnowola-kolonia;kozienicki;mazowieckie
Grabonóg;gostyñski;wielkopolskie
Grabostaw;sieradzki;³ódzkie
Grabostów;be³chatowski;³ódzkie
Graboszewo;w¹growiecki;wielkopolskie
Graboszyce;oœwiêcimski;ma³opolskie
Grabowa;przysuski;mazowieckie
Grabowa (b³ojec);zawierciañski;œl¹skie
Grabowa (grabowa Pierwsza);koniñski;wielkopolskie
Grabowa (ska³bania);zawierciañski;œl¹skie
Grabowa Buchta;œwiecki;kujawsko-pomorskie
Grabowa Góra;œwiecki;kujawsko-pomorskie
Grabowce Dolne;rycki;lubelskie
Grabowce Górne;rycki;lubelskie
Grabowczyk;zamojski;lubelskie
Grabowica;tomaszowski;lubelskie
Grabowiec;kielecki;œwiêtokrzyskie
Grabowiec (dêbowiec);sieradzki;³ódzkie
Grabowiec (letniska);sieradzki;³ódzkie
Grabowiec (ludwików);sieradzki;³ódzkie
Grabowiec (stawiszcze);sieradzki;³ódzkie
Grabowiec-góra;zamojski;lubelskie
Grabownica;ostro³êcki;mazowieckie
Grabownica (lisów);milicki;dolnoœl¹skie
Grabownica (s³awoszowa);milicki;dolnoœl¹skie
Grabownica Starzeñska;brzozowski;podkarpackie
Grabownica Starzeñska (ksawerów);brzozowski;podkarpackie
Grabowno;górowski;dolnoœl¹skie
Grabowno Ma³e;oleœnicki;dolnoœl¹skie
Grabowno Wielkie;oleœnicki;dolnoœl¹skie
Grabowo;gnieŸnieñski;wielkopolskie
Grabowo (byszewo);³obeski;zachodniopomorskie
Grabowo (cegielnia);przasnyski;mazowieckie
Grabowo (dobroszewo);mr¹gowski;warmiñsko-mazurskie
Grabowo (g³azowo);mr¹gowski;warmiñsko-mazurskie
Grabowo (œwiête Miejsce);przasnyski;mazowieckie
Grabowo Koœcierskie;koœcierski;pomorskie
Grabowo Królewskie;wrzesiñski;wielkopolskie
Grabowo Leœne;nidzicki;warmiñsko-mazurskie
Grabowo Parchowskie;bytowski;pomorskie
Grabowo Wielkie;przasnyski;mazowieckie
Grabowo Wielkie (grabowo-gêsie);przasnyski;mazowieckie
Grabowo Wielkie (grabowo-trojany);przasnyski;mazowieckie
Grabowo-gr¹dy;przasnyski;mazowieckie
Grabowo-kolonie;augustowski;podlaskie
Grabowo-r¿añce;przasnyski;mazowieckie
Grabowo-skorupki;przasnyski;mazowieckie
Grabowo-skorupki (grabowo-padaki);przasnyski;mazowieckie
Grabowo-skorupki (wykno Borowe);przasnyski;mazowieckie
Grabowo-zawady;przasnyski;mazowieckie
Grabowska Huta;koœcierski;pomorskie
Grabowska Wola;kozienicki;mazowieckie
Grabowskie;kolneñski;podlaskie
Grabowy Las;bia³obrzeski;mazowieckie
Grabów;strzelecki;opolskie
Grabów (pruchyniec);³êczycki;³ódzkie
Grabów Nad Pilic¹;kozienicki;mazowieckie
Grabów Nad Prosn¹;ostrzeszowski;wielkopolskie
Grabów Nad Wis³¹;zwoleñski;mazowieckie
Grabów Nowy;kozienicki;mazowieckie
Grabów Rycki;rycki;lubelskie
Grabów Rycki (dwórzec);rycki;lubelskie
Grabów Rycki (dziatki);rycki;lubelskie
Grabów Rycki (rycza);rycki;lubelskie
Grabów Szlachecki;rycki;lubelskie
Grabów Zaleœny;kozienicki;mazowieckie
Grabów-pustkowie;ostrzeszowski;wielkopolskie
Grabów-wójtostwo;ostrzeszowski;wielkopolskie
Grabówek;¿arski;lubuskie
Grabówie;³aski;³ódzkie
Grabówiec;brodnicki;kujawsko-pomorskie
Grabówka;bia³ostocki;podlaskie
Grabówka (gajówka);w³oc³awski;kujawsko-pomorskie
Grabówka (stefanowo);w³oc³awski;kujawsko-pomorskie
Grabówka Ukazowa;kraœnicki;lubelskie
Grabówka-kolonia;kraœnicki;lubelskie
Grabówki;pu³awski;lubelskie
Grabówko;nidzicki;warmiñsko-mazurskie
Grabówno;pilski;wielkopolskie
Grabszczyzna;wo³omiñski;mazowieckie
Graby;radomszczañski;³ódzkie
Gracjanów;grójecki;mazowieckie
Gracuch;konecki;œwiêtokrzyskie
Gracz;koszaliñski;zachodniopomorskie
Gracze;opolski;opolskie
Gracze (kolonia Leœna);opolski;opolskie
Gracze (kolonia Robotnicza);opolski;opolskie
Grada;olsztyñski;warmiñsko-mazurskie
Gradki;olsztyñski;warmiñsko-mazurskie
Gradoczno;hajnowski;podlaskie
Gradowice;grodziski;wielkopolskie
Gradowo;radziejowski;kujawsko-pomorskie
Gradówek;lwówecki;dolnoœl¹skie
Gradzanowo Koœcielne;¿uromiñski;mazowieckie
Gradzanowo Koœcielne (grabina);¿uromiñski;mazowieckie
Gradzanowo Koœcielne (gradzanowo œrednie);¿uromiñski;mazowieckie
Gradzanowo W³oœciañskie;m³awski;mazowieckie
Gradzanowo W³oœciañskie (górki);m³awski;mazowieckie
Gradzanowo Zbêskie;m³awski;mazowieckie
Grajewo;grajewski;podlaskie
Grajów;wielicki;ma³opolskie
Grajwo;gi¿ycki;warmiñsko-mazurskie
Grala-d¹browizna;siedlecki;mazowieckie
Grale;ostro³êcki;mazowieckie
