Miejscowoœæ;Powiat;Województwo
Babki G¹seckie;olecki;warmiñsko-mazurskie
Babki Oleckie;olecki;warmiñsko-mazurskie
Babkowice;gostyñski;wielkopolskie
Baborowo;szamotulski;wielkopolskie
Baborów;g³ubczycki;opolskie
Baborówko;szamotulski;wielkopolskie
Baboszewo;p³oñski;mazowieckie
Babsk;w³odawski;lubelskie
Babskie Budy;¿yrardowski;mazowieckie
Babule;mielecki;podkarpackie
Baby;czêstochowski;œl¹skie
Baby Dolne;gostyniñski;mazowieckie
Baby Górne;gostyniñski;mazowieckie
Bachanowo;suwalski;podlaskie
Bachlawa;leski;podkarpackie
Bachmackie Kolonie;sokólski;podlaskie
Bachmatówka;sokólski;podlaskie
Bachor;brodnicki;kujawsko-pomorskie
Bachorce;inowroc³awski;kujawsko-pomorskie
Bachorza;aleksandrowski;kujawsko-pomorskie
Bachorza (bachorza-kolonia);soko³owski;mazowieckie
Bachorze;chojnicki;pomorskie
Bachorzew;jarociñski;wielkopolskie
Bachorzewo;lipnowski;kujawsko-pomorskie
Bachorzyn;³aski;³ódzkie
Bachotek;brodnicki;kujawsko-pomorskie
Bachowice;wadowicki;ma³opolskie
Bachórz;rzeszowski;podkarpackie
Bachórz (chodorówka);rzeszowski;podkarpackie
Bachórz (kolonia);rzeszowski;podkarpackie
Bachórzec;przemyski;podkarpackie
Bachów;przemyski;podkarpackie
Bachury;bia³ostocki;podlaskie
Bachus;che³mski;lubelskie
Baciki Bli¿sze;siemiatycki;podlaskie
Baciki Bli¿sze (altain);siemiatycki;podlaskie
Baciki Bli¿sze (czysta Dolina);siemiatycki;podlaskie
Baciki Dalsze;siemiatycki;podlaskie
Baciki œrednie;siemiatycki;podlaskie
Baciuty;bia³ostocki;podlaskie
Baciuty-kolonia;bia³ostocki;podlaskie
Bacze;ciechanowski;mazowieckie
Bacze Mokre;zambrowski;podlaskie
Bacze Suche;³om¿yñski;podlaskie
Bacze-lipnik;³om¿yñski;podlaskie
Baczki;wêgrowski;mazowieckie
Baczków;³ukowski;lubelskie
Baczyn;suski;ma³opolskie
Baczyna;gorzowski;lubuskie
Baczyna-kolonia;gorzowski;lubuskie
Baczys³aw;kamieñski;zachodniopomorskie
Baækowice;opatowski;œwiêtokrzyskie
Baækowice (kantórka);opatowski;œwiêtokrzyskie
Baækowice (kolonie);opatowski;œwiêtokrzyskie
Baækowice (poddane);opatowski;œwiêtokrzyskie
Badowo-dañki;¿yrardowski;mazowieckie
Badowo-mœciska;¿yrardowski;mazowieckie
Badów Górny;¿yrardowski;mazowieckie
Badrzychowice;buski;œwiêtokrzyskie
Badulki;przysuski;mazowieckie
Bagatela;ostrowski;wielkopolskie
Bagatele;ostrowski;mazowieckie
Bagatelka;wieruszowski;³ódzkie
Bagdad;pilski;wielkopolskie
Bagicz;ko³obrzeski;zachodniopomorskie
Bagienica;tucholski;kujawsko-pomorskie
Bagienice;przasnyski;mazowieckie
Bagienice (prz¹talina);przasnyski;mazowieckie
Bagienice Du¿e;¿uromiñski;mazowieckie
Bagienice Ma³e;¿uromiñski;mazowieckie
Bagienice Ma³e (joachimowo);mr¹gowski;warmiñsko-mazurskie
Bagienice Nowe;¿uromiñski;mazowieckie
Bagienice Szlacheckie;makowski;mazowieckie
Bagienice Szlacheckie (bagienice-pagórki);makowski;mazowieckie
Bagienice-folwark;makowski;mazowieckie
Bagieniec;œwidnicki;dolnoœl¹skie
Bagienki;bia³ostocki;podlaskie
Bagienko;wyszkowski;mazowieckie
Bagieñsko;ostródzki;warmiñsko-mazurskie
Bagiñskie;kolneñski;podlaskie
Bagna;goleniowski;zachodniopomorskie
Bagnica;koszaliñski;zachodniopomorskie
Bagniewko;szczecinecki;zachodniopomorskie
Bagniewo;œwiecki;kujawsko-pomorskie
Bagniuki;bia³ostocki;podlaskie
Bagno;nowomiejski;warmiñsko-mazurskie
Bagno (lisianki);w³oc³awski;kujawsko-pomorskie
Bagny;sokólski;podlaskie
Bagrowo;œredzki;wielkopolskie
Bajdy;i³awski;warmiñsko-mazurskie
Bajdyty;bartoszycki;warmiñsko-mazurskie
Bajerze;che³miñski;kujawsko-pomorskie
Bajki-zalesie;moniecki;podlaskie
Bajkowizna;radomszczañski;³ódzkie
Bajorski Gaj;kêtrzyñski;warmiñsko-mazurskie
Bajory Ma³e;kêtrzyñski;warmiñsko-mazurskie
Bajory Wielkie;kêtrzyñski;warmiñsko-mazurskie
Bajtkowo;e³cki;warmiñsko-mazurskie
Baka³arzewo;suwalski;podlaskie
Bakaniuk;suwalski;podlaskie
Baku³a;ostro³êcki;mazowieckie
Bakus-wanda;che³mski;lubelskie
Balbinów;opatowski;œwiêtokrzyskie
Balcarzowice;strzelecki;opolskie
Balcerów;skierniewicki;³ódzkie
Balczewo;inowroc³awski;kujawsko-pomorskie
Baldram;kwidzyñski;pomorskie
Baldwinowice;z¹bkowicki;dolnoœl¹skie
Bale;siedlecki;mazowieckie
Balewko;sztumski;pomorskie
Balewo;elbl¹ski;warmiñsko-mazurskie
Balice;inowroc³awski;kujawsko-pomorskie
Balice (przyborów);buski;œwiêtokrzyskie
Baligród;leski;podkarpackie
Baliki;³om¿yñski;podlaskie
Balików;kutnowski;³ódzkie
Balin;poddêbicki;³ódzkie
Balinka;augustowski;podlaskie
Balków;³êczycki;³ódzkie
Balnica;sanocki;podkarpackie
Ba³achy;koœcierski;pomorskie
Ba³aje;lubaczowski;podkarpackie
Ba³aje (mokrzyca);lubaczowski;podkarpackie
Ba³am¹tek;s³upski;pomorskie
Ba³amutowo;e³cki;warmiñsko-mazurskie
Ba³a¿ówka;limanowski;ma³opolskie
Ba³¹g;olsztyñski;warmiñsko-mazurskie
Ba³cyny;ostródzki;warmiñsko-mazurskie
Ba³doñ;kaliski;wielkopolskie
Ba³dowice;ostrzeszowski;wielkopolskie
Ba³dowo;tczewski;pomorskie
Ba³drzychów;poddêbicki;³ódzkie
Ba³dy;olsztyñski;warmiñsko-mazurskie
Ba³dzki Piec;olsztyñski;warmiñsko-mazurskie
Ba³ki;soko³owski;mazowieckie
Ba³ków;w³oszczowski;œwiêtokrzyskie
Ba³oszyce;i³awski;warmiñsko-mazurskie
Ba³oszyce Ma³e;i³awski;warmiñsko-mazurskie
Ba³owo;kêtrzyñski;warmiñsko-mazurskie
Ba³tów;pu³awski;lubelskie
Ba³trucie;kêtrzyñski;warmiñsko-mazurskie
Ba³ucianka;kroœnieñski;podkarpackie
Ba³ucz;³aski;³ódzkie
Ba³upiany;go³dapski;warmiñsko-mazurskie
Banachy;ni¿añski;podkarpackie
Banaszki;kêtrzyñski;warmiñsko-mazurskie
Banaszki (gromki);kêtrzyñski;warmiñsko-mazurskie
Bandrów Narodowy;bieszczadzki;podkarpackie
Bandysie;ostro³êcki;mazowieckie
Bania;konecki;œwiêtokrzyskie
Baniak;strzelecki;opolskie
Banica;gorlicki;ma³opolskie
Banie;gryfiñski;zachodniopomorskie
Banie Mazurskie;go³dapski;warmiñsko-mazurskie
Banie Mazurskie (owczary);go³dapski;warmiñsko-mazurskie
Baniewice;gryfiñski;zachodniopomorskie
Banino;kartuski;pomorskie
Baniocha;piaseczyñski;mazowieckie
Baniocha (wilczynek);piaseczyñski;mazowieckie
Bañki;bielski;podlaskie
Bañkowszczyzna;che³mski;lubelskie
Bañska Ni¿na;nowotarski;ma³opolskie
Bañska Wy¿na;nowotarski;ma³opolskie
Bara;gryfiñski;zachodniopomorskie
Barak;szyd³owiecki;mazowieckie
Baraki;krasnostawski;lubelskie
Baraki Chotumskie;ciechanowski;mazowieckie
Baraki Chotumskie (rajmundowo);ciechanowski;mazowieckie
Baran;lubartowski;lubelskie
Baranica;krasnostawski;lubelskie
Baraniec;makowski;mazowieckie
Baranki;bia³ostocki;podlaskie
Barankowo;z³otowski;wielkopolskie
Baranowice;górowski;dolnoœl¹skie
Baranowice (bli¿);wroc³awski;dolnoœl¹skie
Baranowiec;kolski;wielkopolskie
Baranowo;poznañski;wielkopolskie
Baranowo (baranowo-osada);poznañski;wielkopolskie
Baranowo (zamoœcie);ostro³êcki;mazowieckie
Baranów;pu³awski;lubelskie
Baranów Sandomierski;tarnobrzeski;podkarpackie
Baranówek;opatowski;œwiêtokrzyskie
Baranówka;krakowski;ma³opolskie
Baranówka-leœniczówka;braniewski;warmiñsko-mazurskie
Baranówko;poznañski;wielkopolskie
Barany;olecki;warmiñsko-mazurskie
Barbarka;koniñski;wielkopolskie
Barbarówka;che³mski;lubelskie
Barce;koniñski;wielkopolskie
Barce (kuŸnica);koniñski;wielkopolskie
Barce (marysin);koniñski;wielkopolskie
Barchaczów;zamojski;lubelskie
Barchlin;wolsztyñski;wielkopolskie
Barchnowy;starogardzki;pomorskie
Barchów;wêgrowski;mazowieckie
Barciany;kêtrzyñski;warmiñsko-mazurskie
Barcice;wyszkowski;mazowieckie
Barcice (kêpa Barcicka);wyszkowski;mazowieckie
Barcice Dolne;nowos¹decki;ma³opolskie
Barcice Drwalewskie;grójecki;mazowieckie
Barcice Górne;nowos¹decki;ma³opolskie
Barcice Rososkie;grójecki;mazowieckie
Barcie;go³dapski;warmiñsko-mazurskie
Barcikowice;zielonogórski;lubuskie
Barcikowice (barcikowiczki);zielonogórski;lubuskie
Barcikowo;olsztyñski;warmiñsko-mazurskie
Barcin;¿niñski;kujawsko-pomorskie
Barcin-wieœ;¿niñski;kujawsko-pomorskie
Barcinek;jeleniogórski;dolnoœl¹skie
Barcino;s³upski;pomorskie
Barciszewo;bartoszycki;warmiñsko-mazurskie
Barcza;kielecki;œwiêtokrzyskie
Barcz¹ca;miñski;mazowieckie
Barczew;sieradzki;³ódzkie
Barczewko;olsztyñski;warmiñsko-mazurskie
Barczewo;olsztyñski;warmiñsko-mazurskie
Barczewski Dwór;olsztyñski;warmiñsko-mazurskie
Barczkowice;radomszczañski;³ódzkie
Barczków;brzeski;ma³opolskie
Barczyg³ów;koniñski;wielkopolskie
Barczyzna;wrzesiñski;wielkopolskie
