0;Miasto;Powiat;Województwo;Populacja;Obszar
137;Police;policki;zachodniopomorskie;33 625;37,3 km?
138;I³awa;i³awski;warmiñsko-mazurskie;33 338;22 km?
139;CzeladŸ;bêdziñski;œl¹skie;32 940;16 km?
140;Myszków;myszkowski;œl¹skie;32 619;74 km?
141;O³awa;o³awski;dolnoœl¹skie;32 240;27 km?
142;¯ywiec;¿ywiecki;œl¹skie;32 083;51 km?
143;Zgorzelec;zgorzelecki;dolnoœl¹skie;31 890;16 km?
144;Z¹bki;wo³omiñski;mazowieckie;31 884;11 km?
145;Bielawa;dzier¿oniowski;dolnoœl¹skie;31 186;36 km?
146;Swarzêdz;poznañski;wielkopolskie;31 084;8,2 km?
147;M³awa;m³awski;mazowieckie;30 880;35 km?
148;£uków;³ukowski;lubelskie;30 757;36 km?
149;Luboñ;poznañski;wielkopolskie;30 676;14 km?
150;Augustów;augustowski;podlaskie;30 610;81 km?
151;Bochnia;bocheñski;ma³opolskie;30 219;30 km?
152;Œrem;œremski;wielkopolskie;30 152;12,4 km?
153;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie;29 947;14 km?
154;Grodzisk Mazowiecki;grodziski;mazowieckie;29 907;13,2 km?
155;Wrzeœnia;wrzesiñski;wielkopolskie;29 552;12,7 km?
156;£owicz;³owicki;³ódzkie;29 420;23 km?
157;Krotoszyn;krotoszyñski;wielkopolskie;29 397;22,5 km?
158;Marki;wo³omiñski;mazowieckie;29 032;26 km?
159;Pruszcz Gdañski;gdañski;pomorskie;28 858;16 km?
160;Brodnica;brodnicki;kujawsko-pomorskie;28 579;23 km?
161;Czerwionka-Leszczyny;rybnicki;œl¹skie;28 480;37,6 km?
162;Gorlice;gorlicki;ma³opolskie;28 415;24 km?
163;Nowy Dwór Mazowiecki;nowodworski;mazowieckie;28 287;28 km?
164;Turek;turecki;wielkopolskie;28 100;16 km?
165;Kêtrzyn;kêtrzyñski;warmiñsko-mazurskie;28 051;10 km?
166;K³odzko;k³odzki;dolnoœl¹skie;27 997;25 km?
167;Zakopane;tatrzañski;ma³opolskie;27 721;84 km?
168;Wyszków;wyszkowski;mazowieckie;27 222;20,8 km?
169;Bi³goraj;bi³gorajski;lubelskie;27 169;21 km?
170;¯agañ;¿agañski;lubuskie;26 492;40 km?
171;Œwiecie;œwiecki;kujawsko-pomorskie;26 395;11,9 km?
172;Bielsk Podlaski;bielski;podlaskie;26 336;27 km?
173;Jarocin;jarociñski;wielkopolskie;26 311;14,6 km?
174;Wa³cz;wa³ecki;zachodniopomorskie;26 231;38 km?
