0;Miasto;Powiat;Województwo;Populacja;Obszar
806;Goœcino;ko³obrzeski;zachodniopomorskie;2 468;5,7 km?
807;Trzciñsko-Zdrój;gryfiñski;zachodniopomorskie;2 460;2,3 km?
808;Lipsk;augustowski;podlaskie;2 443;5 km?
809;Kozieg³owy;myszkowski;œl¹skie;2 438;26,7 km?
810;Mi³om³yn;ostródzki;warmiñsko-mazurskie;2 431;12,4 km?
811;Œwi¹tniki Górne;krakowski;ma³opolskie;2 394;4,4 km?
812;Wolbórz;piotrkowski;³ódzkie;2 388;15,2 km?
813;Dobrzany;stargardzki;zachodniopomorskie;2 387;5,3 km?
814;Mogielnica;grójecki;mazowieckie;2 386;13 km?
815;Obrzycko;szamotulski;wielkopolskie;2 384;4 km?
816;Miêdzybórz;oleœnicki;dolnoœl¹skie;2 381;6,4 km?
817;Stawiski;kolneñski;podlaskie;2 379;13,2 km?
818;Œwierzawa;z³otoryjski;dolnoœl¹skie;2 376;1,8 km?
819;Rychwa³;koniñski;wielkopolskie;2 369;9,7 km?
820;Kamieñ Krajeñski;sêpoleñski;kujawsko-pomorskie;2 358;3,7 km?
821;Dobra;³obeski;zachodniopomorskie;2 347;1,8 km?
822;Czchów;brzeski;ma³opolskie;2 346;14,1 km?
823;Cz³opa;wa³ecki;zachodniopomorskie;2 342;6,3 km?
824;Drawno;choszczeñski;zachodniopomorskie;2 335;5 km?
825;Wi¹zów;strzeliñski;dolnoœl¹skie;2 327;9,2 km?
826;Szepietowo;wysokomazowiecki;podlaskie;2 282;2 km?
827;Dobrzyñ nad Wis³¹;lipnowski;kujawsko-pomorskie;2 278;5,4 km?
828;Prusice;trzebnicki;dolnoœl¹skie;2 274;10,9 km?
829;Suchowola;sokólski;podlaskie;2 274;26 km?
830;Bodzentyn;kielecki;œwiêtokrzyskie;2 274;8,7 km?
831;B³aszki;sieradzki;³ódzkie;2 273;1,6 km?
832;Osieczna;leszczyñski;wielkopolskie;2 245;4,8 km?
833;Bia³y Bór;szczecinecki;zachodniopomorskie;2 229;12,8 km?
834;Zalewo;i³awski;warmiñsko-mazurskie;2 211;8,2 km?
835;Ostrów Lubelski;lubartowski;lubelskie;2 207;29,8 km?
836;Nowogród;³om¿yñski;podlaskie;2 197;20,6 km?
837;Krzanowice;raciborski;œl¹skie;2 195;3,1 km?
838;£aszczów;tomaszowski;lubelskie;2 187;5 km?
839;Kosów Lacki;soko³owski;mazowieckie;2 187;11,6 km?
840;Sieniawa;przeworski;podkarpackie;2 179;6,7 km?
841;B³a¿owa;rzeszowski;podkarpackie;2 178;4,2 km?
842;Tyszowce;tomaszowski;lubelskie;2 171;18,5 km?
843;Dukla;kroœnieñski;podkarpackie;2 160;5,5 km?
844;Kisielice;i³awski;warmiñsko-mazurskie;2 155;3,4 km?
845;¯erków;jarociñski;wielkopolskie;2 145;2,2 km?
846;Drohiczyn;siemiatycki;podlaskie;2 125;15,7 km?
847;Narol;lubaczowski;podkarpackie;2 110;12,4 km?
848;D¹bie;kolski;wielkopolskie;2 089;8,8 km?
849;Raszków;ostrowski;wielkopolskie;2 076;2,1 km?
850;Sêpopol;bartoszycki;warmiñsko-mazurskie;2 051;4,6 km?
851;Pogorzela;gostyñski;wielkopolskie;2 046;4,4 km?
852;Lubniewice;sulêciñski;lubuskie;2 040;12,1 km?
853;Iñsko;stargardzki;zachodniopomorskie;2 035;7,5 km?
854;Szadek;zduñskowolski;³ódzkie;2 019;17,9 km?
855;Tykocin;bia³ostocki;podlaskie;2 014;29 km?
856;Osiek;staszowski;œwiêtokrzyskie;2 004;17,4 km?
857;Ostroróg;szamotulski;wielkopolskie;1 988;1,3 km?
858;Brok;ostrowski;mazowieckie;1 977;28,1 km?
859;Grabów nad Prosn¹;ostrzeszowski;wielkopolskie;1 976;2,6 km?
860;Nieszawa;aleksandrowski;kujawsko-pomorskie;1 975;10 km?
861;Cieszanów;lubaczowski;podkarpackie;1 975;15,1 km?
862;Tuczno;wa³ecki;zachodniopomorskie;1 974;9,2 km?
863;Lubomierz;lwówecki;dolnoœl¹skie;1 968;8,1 km?
864;Pilica;zawierciañski;œl¹skie;1 948;8,2 km?
865;Jutrosin;rawicki;wielkopolskie;1 946;1,6 km?
866;Bie¿uñ;¿uromiñski;mazowieckie;1 911;12,1 km?
867;Mikstat;ostrzeszowski;wielkopolskie;1 904;2,5 km?
868;Goni¹dz;moniecki;podlaskie;1 900;4,3 km?
869;Radzyñ Che³miñski;grudzi¹dzki;kujawsko-pomorskie;1 894;1,8 km?
870;Chodecz;w³oc³awski;kujawsko-pomorskie;1 893;1,4 km?
871;Korfantów;nyski;opolskie;1 893;10,2 km?
872;Zawichost;sandomierski;œwiêtokrzyskie;1 861;20,3 km?
873;Soœnicowice;gliwicki;œl¹skie;1 853;11,7 km?
874;Iwonicz-Zdrój;kroœnieñski;podkarpackie;1 852;5,9 km?
875;M³ynary;elbl¹ski;warmiñsko-mazurskie;1 831;2,8 km?
876;Mordy;siedlecki;mazowieckie;1 819;4,5 km?
877;Wleñ;lwówecki;dolnoœl¹skie;1 818;7,2 km?
878;Wielichowo;grodziski;wielkopolskie;1 766;1,2 km?
879;Przedecz;kolski;wielkopolskie;1 759;3 km?
880;Ujazd;strzelecki;opolskie;1 740;14,8 km?
881;Jedwabne;³om¿yñski;podlaskie;1 717;4,5 km?
882;Przec³aw;mielecki;podkarpackie;1 711;16 km?
883;Nowe Brzesko;proszowicki;ma³opolskie;1 672;7,3 km?
884;Zakliczyn;tarnowski;ma³opolskie;1 665;4 km?
885;Cedynia;gryfiñski;zachodniopomorskie;1 651;1,7 km?
886;Krzywiñ;koœciañski;wielkopolskie;1 637;2,3 km?
887;Rajgród;grajewski;podlaskie;1 626;35,3 km?
888;Moryñ;gryfiñski;zachodniopomorskie;1 600;5,5 km?
889;Stawiszyn;kaliski;wielkopolskie;1 561;-
890;Dolsk;œremski;wielkopolskie;1 560;6,2 km?
891;Baranów Sandomierski;tarnobrzeski;podkarpackie;1 497;9,2 km?
892;Frampol;bi³gorajski;lubelskie;1 482;4,7 km?
893;Ulanów;ni¿añski;podkarpackie;1 472;8,2 km?
894;Suchañ;stargardzki;zachodniopomorskie;1 466;3,6 km?
895;Dobra;turecki;wielkopolskie;1 454;1,8 km?
896;Ko³aczyce;jasielski;podkarpackie;1 447;7,2 km?
897;Górzno;brodnicki;kujawsko-pomorskie;1 410;3,4 km?
898;Lubieñ Kujawski;w³oc³awski;kujawsko-pomorskie;1 401;2,3 km?
899;Krynica Morska;nowodworski;pomorskie;1 351;116 km?
900;Kleszczele;hajnowski;podlaskie;1 345;46,7 km?
901;Szlichtyngowa;wschowski;lubuskie;1 328;1,6 km?
902;Skalbmierz;kazimierski;œwiêtokrzyskie;1 315;7,1 km?
903;Nowe Warpno;policki;zachodniopomorskie;1 231;24,5 km?
904;Sura¿;bia³ostocki;podlaskie;1 008;33,9 km?
905;Dzia³oszyce;piñczowski;œwiêtokrzyskie;981;1,9 km?
906;Wyœmierzyce;bia³obrzeski;mazowieckie;906;16,8 km?
907;Modliborzyce;janowski;lubelskie;-;-
908;Mrozy;miñski;mazowieckie;-;-
909;Zaklików;stalowowolski;podkarpackie;-;-
910;W³adys³awowo;pucki;pomorskie;-;39 km?
911;Czarna Woda;starogardzki;pomorskie;-;27,7 km?
912;Stopnica;buski;œwiêtokrzyskie;-;-
913;Chocz;pleszewski;wielkopolskie;-;-
914;Dobrzyca;pleszewski;wielkopolskie;-;19,7 km?
915;Stepnica;goleniowski;zachodniopomorskie;-;11,4 km?
